,ARIMA
2020-09-01 00:00:00,2523303.7334343707
2020-09-01 01:00:00,2292838.330412088
2020-09-01 02:00:00,2199423.0322871404
2020-09-01 03:00:00,2171706.2846608344
2020-09-01 04:00:00,2184671.7446947293
2020-09-01 05:00:00,2278373.383061993
2020-09-01 06:00:00,2521980.1690628934
2020-09-01 07:00:00,2944799.741131786
2020-09-01 08:00:00,3620528.1074885973
2020-09-01 09:00:00,3862000.3656784454
2020-09-01 10:00:00,3908419.1883807546
2020-09-01 11:00:00,3951048.0185618536
2020-09-01 12:00:00,3801975.287782622
2020-09-01 13:00:00,3697102.0603270154
2020-09-01 14:00:00,3784479.108286939
2020-09-01 15:00:00,3842168.826702976
2020-09-01 16:00:00,3977648.5451817214
2020-09-01 17:00:00,4139368.03501769
2020-09-01 18:00:00,4417916.452376104
2020-09-01 19:00:00,4538802.73264971
2020-09-01 20:00:00,4676893.454768058
2020-09-01 21:00:00,4275580.121411162
2020-09-01 22:00:00,3785380.70788185
2020-09-01 23:00:00,3282447.245174377
2020-09-02 00:00:00,2851098.82958903
2020-09-02 01:00:00,2587931.206794977
2020-09-02 02:00:00,2459434.896974367
2020-09-02 03:00:00,2400041.789908779
2020-09-02 04:00:00,2384165.1860926617
2020-09-02 05:00:00,2449589.43488715
2020-09-02 06:00:00,2654878.022352162
2020-09-02 07:00:00,3039754.731460506
2020-09-02 08:00:00,3654866.345882514
2020-09-02 09:00:00,3875287.355710658
2020-09-02 10:00:00,3909202.390341332
2020-09-02 11:00:00,3940971.098886381
2020-09-02 12:00:00,3791357.560998443
2020-09-02 13:00:00,3665818.3134979554
2020-09-02 14:00:00,3735063.635730265
2020-09-02 15:00:00,3785253.6854588403
2020-09-02 16:00:00,3922873.147519518
2020-09-02 17:00:00,4099509.134530253
2020-09-02 18:00:00,4390881.090761532
2020-09-02 19:00:00,4538706.741526766
2020-09-02 20:00:00,4685297.725116949
2020-09-02 21:00:00,4298924.8507063575
2020-09-02 22:00:00,3826634.00585404
2020-09-02 23:00:00,3336479.903562529
2020-09-03 00:00:00,2911444.267566752
2020-09-03 01:00:00,2652970.8823463856
2020-09-03 02:00:00,2529341.977863959
2020-09-03 03:00:00,2476030.534536901
2020-09-03 04:00:00,2466601.01007373
2020-09-03 05:00:00,2537512.989102372
2020-09-03 06:00:00,2743579.991117886
2020-09-03 07:00:00,3127115.888027124
2020-09-03 08:00:00,3731495.2159882025
2020-09-03 09:00:00,3950032.7175557995
2020-09-03 10:00:00,3981516.3764534285
2020-09-03 11:00:00,4008225.328870574
2020-09-03 12:00:00,3853618.81213756
2020-09-03 13:00:00,3714332.8339895005
2020-09-03 14:00:00,3768190.4086081195
2020-09-03 15:00:00,3804235.3429270606
2020-09-03 16:00:00,3929216.2817566013
2020-09-03 17:00:00,4096277.6039949716
2020-09-03 18:00:00,4377372.120696345
2020-09-03 19:00:00,4519714.204010615
2020-09-03 20:00:00,4656574.461860045
2020-09-03 21:00:00,4264236.878509291
2020-09-03 22:00:00,3789246.1632431527
2020-09-03 23:00:00,3297682.026759915
2020-09-04 00:00:00,2872446.9757964225
2020-09-04 01:00:00,2616614.3923922824
2020-09-04 02:00:00,2499042.3480959767
2020-09-04 03:00:00,2455407.0058264034
2020-09-04 04:00:00,2458764.4585910225
2020-09-04 05:00:00,2544781.5339771486
2020-09-04 06:00:00,2766625.9991218345
2020-09-04 07:00:00,3166739.8327303412
2020-09-04 08:00:00,3785597.1119761644
2020-09-04 09:00:00,4021141.882317955
2020-09-04 10:00:00,4068524.976112052
2020-09-04 11:00:00,4108559.685131436
2020-09-04 12:00:00,3964685.885741826
2020-09-04 13:00:00,3830147.360789412
2020-09-04 14:00:00,3884204.672342818
2020-09-04 15:00:00,3916193.044585394
2020-09-04 16:00:00,4032509.3219241803
2020-09-04 17:00:00,4186487.1504344656
2020-09-04 18:00:00,4448853.381499971
2020-09-04 19:00:00,4568532.533645741
2020-09-04 20:00:00,4676356.7304543685
2020-09-04 21:00:00,4251424.617355828
2020-09-04 22:00:00,3740724.997980081
2020-09-04 23:00:00,3210490.5646254364
2020-09-05 00:00:00,2744466.678308499
2020-09-05 01:00:00,2447176.735528505
2020-09-05 02:00:00,2288682.5581072336
2020-09-05 03:00:00,2205786.912696189
2020-09-05 04:00:00,2172459.1465011872
2020-09-05 05:00:00,2225157.481810859
2020-09-05 06:00:00,2417515.0998374126
2020-09-05 07:00:00,2792862.834461316
2020-09-05 08:00:00,3391527.7532443125
2020-09-05 09:00:00,3613389.6700205947
2020-09-05 10:00:00,3652895.005051103
2020-09-05 11:00:00,3690606.577506032
2020-09-05 12:00:00,3549944.8722666367
2020-09-05 13:00:00,3422930.320609873
2020-09-05 14:00:00,3488845.3689982337
2020-09-05 15:00:00,3536526.8327276716
2020-09-05 16:00:00,3671522.7965352237
2020-09-05 17:00:00,3846346.4146776428
2020-09-05 18:00:00,4130380.7939998107
2020-09-05 19:00:00,4272013.909349364
2020-09-05 20:00:00,4400276.7042388255
2020-09-05 21:00:00,3994040.372208798
2020-09-05 22:00:00,3499409.2010085178
2020-09-05 23:00:00,2981731.279011642
2020-09-06 00:00:00,2524194.5504465797
2020-09-06 01:00:00,2231098.840471563
2020-09-06 02:00:00,2072388.3738679853
2020-09-06 03:00:00,1984924.8396240212
2020-09-06 04:00:00,1942885.8375450452
2020-09-06 05:00:00,1983120.3911608676
2020-09-06 06:00:00,2159772.5353083406
2020-09-06 07:00:00,2517017.677615526
2020-09-06 08:00:00,3095909.680130133
2020-09-06 09:00:00,3297841.8758140327
2020-09-06 10:00:00,3318124.3125373074
2020-09-06 11:00:00,3338419.03866923
2020-09-06 12:00:00,3183375.0162651083
2020-09-06 13:00:00,3045900.1932848827
2020-09-06 14:00:00,3106508.3541941717
2020-09-06 15:00:00,3155041.3108136966
2020-09-06 16:00:00,3297833.3822248746
2020-09-06 17:00:00,3488037.8421552815
2020-09-06 18:00:00,3795331.828665641
2020-09-06 19:00:00,3968417.2129960284
2020-09-06 20:00:00,4136018.3060529744
2020-09-06 21:00:00,3776908.2677683854
2020-09-06 22:00:00,3336629.9386804188
2020-09-06 23:00:00,2879702.8892332106
2020-09-07 00:00:00,2488326.2810868947
2020-09-07 01:00:00,2265670.673182333
2020-09-07 02:00:00,2180368.456856411
2020-09-07 03:00:00,2167840.9176300648
2020-09-07 04:00:00,2200727.8304882008
2020-09-07 05:00:00,2314297.170038199
2020-09-07 06:00:00,2561098.0981851555
2020-09-07 07:00:00,2983811.163268163
2020-09-07 08:00:00,3622011.810881626
2020-09-07 09:00:00,3875950.613456667
2020-09-07 10:00:00,3939750.1384541723
2020-09-07 11:00:00,3994147.2172361594
2020-09-07 12:00:00,3863134.112611974
2020-09-07 13:00:00,3739121.889581782
2020-09-07 14:00:00,3802514.836939366
2020-09-07 15:00:00,3843278.200396808
2020-09-07 16:00:00,3968111.356897962
2020-09-07 17:00:00,4130793.254389029
2020-09-07 18:00:00,4401816.147588745
2020-09-07 19:00:00,4530975.165848968
2020-09-07 20:00:00,4648147.09649595
2020-09-07 21:00:00,4233528.317313451
2020-09-07 22:00:00,3734114.215615203
2020-09-07 23:00:00,3215918.694219523
2020-09-08 00:00:00,2762659.5959572545
2020-09-08 01:00:00,2479005.466778803
2020-09-08 02:00:00,2335002.417467479
